year,CN: Industrial Inventory,CN: Industrial Inventory: Coal,CN: Industrial Inventory: Petroleum & Natural Gas,CN: Industrial Inventory: Ferrous Metal,CN: Industrial Inventory: Non Ferrous Metal,CN: Industrial Inventory: Non Metal Mineral
Region,China,China,China,China,China,China
Subnational,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,RMB bn,RMB bn,RMB bn,RMB bn,RMB bn,RMB bn
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active,Active,Active,Active
Series ID,389073307 (CBRCMKE),389073327 (CBRCMKG),389073347 (CBRCMKI),389073367 (CBRCMKK),389073387 (CBRCMKM),389073407 (CBRCMKO)
SR Code,SR107478567,SR107478577,SR107478587,SR107478597,SR107478607,SR107478617
Trade Code,,,,,,
Mnemonic,,,,,,
Function Description,,,,,,
First Obs. Date,01/2010,01/2012,01/2012,01/2012,01/2012,01/2012
Last Obs. Date,06/2023,06/2023,06/2023,06/2023,06/2023,06/2023
Last Update Time,28/07/2023,28/07/2023,28/07/2023,28/07/2023,28/07/2023,28/07/2023
Series remarks,,,,,,
Suggestions,,,,,,
05/2012,8445.505,194.52,31.863,44.948,35.426,13.885
06/2012,8454.129,194.258,33.439,45.209,36.778,14.502
07/2012,8504.584,198.448,33.127,45.819,39.63,14.851
08/2012,8544.403,201.444,32.995,46.531,40.284,15.235
09/2012,8568.935,204.612,34.062,48.689,40.286,15.544
10/2012,8647.141,203.562,34.31,48.259,40.801,15.4
11/2012,8717.021,204.088,34.111,47.804,40.693,16.043
12/2012,8832.465176,199.086542,28.52029,49.189627,37.888391,17.67927
01/2013,8780.652,191.607,27.997,45.656,37.697,15.266
02/2013,8780.652,191.607,27.997,45.656,37.697,15.266
03/2013,8925.763,201.151,28.818,48.311,38.986,16.168
04/2013,9062.246,208.14,28.687,48.123,40.21,16.862
05/2013,9142.214,212.615,30.475,49.084,39.837,17.009
06/2013,9148.081,218.536,31.196,50.581,39.923,17.226
07/2013,9234.775,220.67,32.228,50.662,40.334,17.87
08/2013,9297.612,223.249,33.06,50.269,40.902,18.273
