year,已出售商品建筑：年初至今：共计,在建建筑面积：年初至今：商品建筑（CB）,已出售建筑面积：商品建筑：年初至今
区域,中国,中国,中国
次国家,,,
频率,月,月,月
单位,百万人民币,千平方米,千平方米
数据来源,国家统计局,国家统计局,国家统计局
状态,继续,继续,继续
数列ID,3955901 (CECB),3963401 (CECC),3964901 (CECF)
SR码,SR442079,SR433116,SR186852
Trade Code,,,
助记符,,,
函数说明,,,
首次观测日期,12/1995,12/1995,12/1995
最后观测日期,09/2022,09/2022,09/2022
最后更新时间,26/10/2022,26/10/2022,26/10/2022
数列备注,[COVID-19-IMPACT],,
您可以,,,
12/2017,13370130.64,7814837.26,1694078.154
01/2018,1245364.9,6320015.66,146326.39
02/2018,1245364.9,6320015.66,146326.39
03/2018,2559718.38,6465555.258,300884.018
04/2018,3622248.17,6644098.214,421920.576
05/2018,4877757.05,6849911.154,564090.927
06/2018,6694522.95,7096494.162,771432.816
07/2018,7830014.88,7285933.314,899895.302
08/2018,8939601.24,7476584.776,1024735.269
09/2018,10413223.12,7672179.461,1193127.747
10/2018,11591367.15,7844246.523,1331168.536
11/2018,12950809.56,8048860.123,1486039.296
12/2018,14997273.74,8223002.399,1716543.616
01/2019,1280334.32,6749459.407,141021.45
02/2019,1280334.32,6749459.407,141021.45
03/2019,2703876.93,6994442.225,298289.41
04/2019,3914087.27,7225692.319,420854.519
05/2019,5177282.94,7452856.705,555180.532
06/2019,7069805.86,7722924.184,757855.907
07/2019,8316234.79,7942074.763,887829.143
08/2019,9537294.94,8131564.898,1018485.612
09/2019,11149128.5,8342011.785,1191785.328
10/2019,12441724.48,8548817.971,1332506.792
11/2019,13900577.82,8748139.267,1489050.175
12/2019,15972512.23,8938208.892,1715578.676
01/2020,820346.93,6942412.034,84749.5
02/2020,820346.93,6942412.034,84749.5
03/2020,2036486.21,7178864.104,219783.239
04/2020,3186309.03,7405677.301,339725.809
05/2020,4626948.01,7626277.455,487029.687
06/2020,6689456.89,7927211.811,694036.779
07/2020,8142202.98,8182797.123,836313.62
08/2020,9694253.96,8397335.981,984859.545
09/2020,11564728.98,8598202.679,1170726.729
10/2020,13166508.73,8801174.607,1332938.02
11/2020,14896873.36,9024247.965,1508344.47
12/2020,17361265.89,9267591.876,1760862.217
01/2021,1915073.81,7706289.252,173631.372
02/2021,1915073.81,7706289.252,173631.372
03/2021,3837779.24,7983938.515,360070.483
04/2021,5360915.29,8185129.212,503050.04
05/2021,7053369.81,8399616.273,663833.227
06/2021,9293130.74,8732506.121,886353.483
07/2021,10643042.5,8918802.86,1016481.757
08/2021,11904686.28,9099920.24,1141928.088
09/2021,13479492.93,9280647.215,1303317.755
10/2021,14718465.67,9428586.338,1430407.145
11/2021,16166670.26,9596538.198,1581307.308
12/2021,18192994.94,9753865.101,1794334.099
01/2022,1545867.41,7844592.419,157026.113
02/2022,1545867.41,7844592.419,157026.113
03/2022,2965459.64,8062594.623,310459.632
04/2022,3778940.1,8185877.44,397681.548
05/2022,4833660.3,8315250.6,507383.78
06/2022,6607238,8488119.924,689230.422
07/2022,7576299.79,8591941.564,781779.699
08/2022,8586951.65,8686485.2,878904.003
09/2022,9937969.27,8789194.094,1014217.191
