,CN: Export: Agriculture Product (AP),CN: Export: Refined Petroleum Product,CN: Export: Basic Organic Chemical,CN: Export: Plastic Article,"CN: Export: Textile Yarn, Fabric & Article thereof (TY)",CN: Export: Garment & Clothing Accessory (GC),CN: Export: Furniture & Part thereof,CN: Export: Mechanical & Electrical Product (ME),CN: Export: Hi-Tech Product (HT),CN: (DC)Export: ME: Others,CN: (DC)Export: ME: Metal Product,CN: (DC)Export: ME: Machinery,CN: (DC)Export: ME: Transport Equipment,CN: (DC)Export: ME: Electric & Electronic Product,CN: (DC)Export: ME: Instrument & Apparatus
05/2009,3057.138,695.001,,1192.407,4895.432,7410.584,1984.704,52433.856,26256.302,2206.726,3581.877,16759.83,4764.152,22206.4,2914.871
06/2009,3239.602,1111.809,,1130.669,4925.08,9062.541,1738.935,56129.297,29844.347,2228.09,3497.489,18690.784,5148.786,23492.536,3071.614
07/2009,3260.732,1024.49,,1249.347,5323.465,11049.707,1984.651,60942.942,32839.688,2653.727,3725.307,20274.891,4676.201,26089.329,3523.487
08/2009,3111.869,1257.945,,1188.624,5162.45,10533.725,1911.089,60170.762,31795.395,2952.428,3775.064,18881.472,5143.088,25847.003,3571.708
09/2009,3583.553,1185.904,,1296.07,5670.257,11081.328,2074.474,68540.615,36895.055,3281.179,4151.233,21644.361,5233.455,30164.278,4066.109
10/2009,3306.953,1133.77,,1179.208,5293.537,9357.331,2070.744,68296.988,39203.334,3073.121,3656.654,22673.764,4669.919,30369.462,3854.068
11/2009,3727.931,1293.338,,1264.338,5366.278,8592.551,2440.272,70456.187,39780.097,2828.42,3919.328,22861.051,5977.113,31067.832,3802.442
12/2009,4427.034,2288.648,,1657.751,6216.205,10570.563,3088.21,78048.409,42082.909,3101.105,4854.388,25686.034,6738.422,33321.602,4346.86
01/2010,3834.907,1682.149,,1341.149,5581.403,9986.485,2619.85,62508.854,30899.685,2496.434,4516.624,21002.152,7024.708,24093.635,3375.302
02/2010,2821.006,1001.756,,1141.535,4567.059,8070.543,2110.571,56464.438,28905.877,2209.207,3736.181,19721.487,5652.858,21950.858,3193.847
03/2010,3539.079,1716.576,,1228.555,5048.518,5955.566,2332.875,70091.392,39257.866,2324.991,3605.692,23983.159,6042.028,29844.484,4291.037
04/2010,3700.299,1650.167,,1449.449,6391.653,8155.162,2668.125,71230.531,37565.055,2563.627,4321.768,23953.139,6416.526,29643.899,4331.572
05/2010,3897.553,1772.297,,1613.368,6969.255,9462.801,2956.345,77173.883,39525.053,2861.183,4989.63,25537.997,7661.918,31668.854,4454.299
06/2010,3880.855,1431.686,,1648.607,7092.654,11572.417,2949.839,79564.549,41316.178,2869.673,5166.511,27715.969,7747.222,31503.687,4561.485
07/2010,4144.508,1596.646,,1760.439,7191.341,13603.91,2907.705,83830.258,42675.417,3246.758,5357.32,27814.689,8838.341,33965.707,4607.443
08/2010,4023.443,1322.485,,1660.284,6677.539,13464.266,2662.438,80802.474,42037.581,3571.266,4998.181,25689.022,7123.507,34637.05,4783.448
09/2010,4143.367,1276.168,,1634.065,6814.289,13200.929,2543.558,86310.607,46167.045,3850.928,5087.849,28065.531,7620.009,36900.367,4785.923
10/2010,4032.152,1131.241,,1517.765,6291.955,11508.187,2553.366,82714.426,45587.091,3423.13,4597.924,27304.203,7621.62,35306.709,4460.84
11/2010,5236.367,1267.376,,1775.596,7073.411,11944.38,3222.757,92358.083,50540.134,3701.688,5332.964,28906.927,8462.631,41401.651,4552.222
12/2010,5630.725,1213.401,,1895.795,7372.068,12543.41,3468.569,90736.485,48078.452,3425.219,5615.795,30263.716,8669.341,37999.062,4763.353
01/2011,5656.724,1396.057,,1861.631,8242.836,13375.661,3580.749,84545.015,40294.606,3378.818,5875.029,26236.685,10016.072,34410.73,4627.682
